Timestamp (ms),CPU (%),RAM (MB)
3585,0.544146,183.195
4775,7.44625,254.422
5973,6.69087,269.117
7172,6.73924,274.016
8377,6.68394,276.691
9381,9.01288,286.371
10382,8.90714,286.371
11391,9.02948,287.656
12402,8.50403,287.656
13585,9.44798,287.656
14590,9.12524,287.656
15594,7.23192,287.656
16710,3.93134,287.656
17791,9.03409,287.656
18980,8.19927,287.691
20162,6.86741,287.863
21174,7.17378,287.863
22179,6.66667,287.863
23194,9.56996,287.863
24391,9.4062,287.863
25392,9.36725,287.863
26592,9.56113,287.863
27600,10.2337,287.863
28785,9.94214,287.863
29982,8.76915,287.863
31181,7.86695,287.863
32375,6.86535,287.863
33574,6.95836,287.863
34591,7.19557,287.863
35773,7.44285,287.863
36775,7.20443,287.863
37966,7.74059,287.863
38983,7.16889,287.863
40176,7.29387,288.121
41377,7.67602,288.121
42573,7.59958,288.121
43575,7.63932,288.121
44605,7.66423,288.121
45773,7.91021,288.121
46776,7.05658,288.121
47976,6.63857,288.121
49177,6.96203,288.121
50185,7.34463,288.121
51374,7.0632,288.121
52378,6.75845,288.121
53578,6.82292,288.121
54760,7.01285,288.121
55778,6.81676,288.121
56780,7.86517,288.121
57994,7.94148,288.121
59192,8.25928,288.121
60192,8.2302,288.121
61383,8.64721,288.121
62387,8.29146,288.391
63582,7.5403,288.391
64783,7.68025,288.391
65986,7.44186,288.391
67189,7.68041,288.391
68386,7.55694,288.391
69581,7.46347,288.391
70775,7.22135,288.391
71777,6.91158,288.617
72795,7.6827,288.617
73971,8.2932,288.617
74983,8.45157,288.617
76189,8.60104,288.617
77384,8.54746,288.617
78583,8.60441,288.617
79786,8.79121,288.617
80801,9.11345,288.617
81981,8.50951,288.617
83180,8.30721,288.617
84195,7.90611,288.617
85395,8.33768,292.25
86587,8.78835,292.25
87789,8.58481,292.25
89000,8.62603,301.012
90189,8.72307,292.25
91387,8.55503,292.25
92578,8.75837,292.25
93584,8.30731,292.25
94599,8.82716,292.25
95791,8.53154,292.25
96796,8.1381,292.25
97979,7.70889,292.25
98979,7.2716,292.25
100175,7.10153,292.25
101180,7.28518,292.25
102181,7.20551,292.375
